year_month,order_count,year_month_str
2016-09,4,2016-09
2016-10,324,2016-10
2016-12,1,2016-12
2017-01,800,2017-01
2017-02,1780,2017-02
2017-03,2682,2017-03
2017-04,2404,2017-04
2017-05,3700,2017-05
2017-06,3245,2017-06
2017-07,4026,2017-07
2017-08,4331,2017-08
2017-09,4285,2017-09
2017-10,4631,2017-10
2017-11,7544,2017-11
2017-12,5673,2017-12
2018-01,7269,2018-01
2018-02,6728,2018-02
2018-03,7211,2018-03
2018-04,6939,2018-04
2018-05,6873,2018-05
2018-06,6167,2018-06
2018-07,6292,2018-07
2018-08,6512,2018-08
2018-09,16,2018-09
2018-10,4,2018-10
